X1,X2,Y
0.162166217,0,0
0.724821234,1,0
0.78459106,1,1
0.216755974,0,0
0.828123347,0,1
0.031784311,0,0
0.994024767,0,1
0.936862847,0,1
0.805984223,0,1
0.873078275,0,1
0.77026738,1,1
0.400318595,0,1
0.139591596,0,0
0.697593459,1,0
0.770805378,1,1
0.225314833,0,0
0.665468702,1,0
0.883465745,0,1
0.369353885,0,1
0.597063983,1,0
0.347023377,0,1
0.397424565,0,1
0.274005469,0,1
0.170879274,0,0
0.388617856,0,1
0.509044892,1,0
0.538807386,1,0
0.295308317,0,1
0.293054093,0,1
0.820182779,0,1
0.119207886,0,0
0.908006787,0,1
0.868693063,0,1
0.868085279,0,1
0.049166992,0,0
0.108836107,0,0
0.405597955,0,1
0.929189929,0,1
0.713728201,1,0
0.34176207,0,1
0.186379055,0,0
0.306664249,0,1
0.833930265,0,1
0.898918278,0,1
0.516773384,1,0
0.126056507,0,0
0.223208419,0,0
0.251675558,0,1
0.768434128,1,1
0.629759561,1,0
0.580808725,1,0
0.908502315,0,1
0.210895836,0,0
0.104044647,0,0
0.881139585,0,1
0.569639175,1,0
0.717941791,1,0
0.756969355,1,1
0.757630777,1,1
0.122071072,0,0
0.378146322,0,1
0.217860565,0,0
0.258705511,0,1
0.345617572,0,1
0.739995289,1,0
0.950319446,0,1
0.084940685,0,0
0.6488376,1,0
0.947220945,0,1
0.195639358,0,0
0.20490549,0,0
0.613126176,1,0
0.147987608,0,0
0.157782425,0,0
0.323588941,0,1
0.958831822,0,1
0.485069052,0,1
0.958742278,0,1
0.654128123,1,0
0.504648036,1,0
0.389829091,0,1
0.997198192,0,1
0.797970437,1,1
0.823122431,0,1
0.422504307,0,1
0.352522262,0,1
0.374519133,0,1
0.688617937,1,0
0.899048722,0,1
0.93095444,0,1
0.005696876,0,0
0.452778729,0,1
0.410268568,0,1
0.652520028,1,0
0.308978452,0,1
0.714647202,1,0
0.208460143,0,0
0.609025298,1,0
0.598126067,1,0
0.548237562,1,0
0.712043166,1,0
0.997500179,0,1
0.145314116,0,0
0.181020551,0,0
0.734280034,1,0
0.73083753,1,0
0.715714346,1,0
0.251020015,0,1
0.906072717,0,1
0.965120859,0,1
0.529547198,1,0
0.610307631,1,0
0.662300932,1,0
0.5193893,1,0
0.532384998,1,0
0.108843285,0,0
0.980288579,0,1
0.00478,0,0
0.791199265,1,1
0.829416657,0,1
0.495781549,0,1
0.579920479,1,0
0.916494397,0,1
0.823210347,0,1
0.42893279,0,1
0.303352225,0,1
0.70432125,1,0
0.018435417,0,0
0.462479133,0,1
0.641220407,1,0
0.551793444,1,0
0.708100815,1,0
0.825338399,0,1
0.120833863,0,0
0.292972519,0,1
0.04842503,0,0
0.261258399,0,1
0.894869476,0,1
0.379833344,0,1
0.00880845,0,0
0.045177572,0,0
0.029808544,0,0
0.111324056,0,0
0.652462647,1,0
0.605308843,1,0
0.426485226,0,1
0.207926266,0,0
0.55652223,1,0
0.069377685,0,0
0.18804316,0,0
0.45526302,0,1
0.902742388,0,1
0.460049153,0,1
0.12002073,0,0
0.53346626,1,0
0.385036716,0,1
0.939659539,0,1
0.527057839,1,0
0.946964232,0,1
0.641651141,1,0
0.50542866,1,0
0.193296298,0,0
0.259285517,0,1
0.024423337,0,0
0.542521108,1,0
0.642548831,1,0
0.119661591,0,0
0.633077371,1,0
0.922661643,0,1
0.19147569,0,0
0.307539143,0,1
0.341541883,0,1
0.888874798,0,1
0.705008176,1,0
0.266903785,0,1
0.472557299,0,1
0.64462484,1,0
0.285560306,0,1
0.855950796,0,1
